species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_ratio,size_category
Adelie,Torgersen,-0.9423712265209773,0.7891223748392777,-1.489181798273081,-0.5939458082041282,MALE,-1.1942016302768148,medium
Adelie,Torgersen,-0.8650805273849504,0.11539132707532977,-1.1196370057366352,-0.5289911967247173,FEMALE,-7.496928489436719,medium
Adelie,Torgersen,-0.7104991291128968,0.4263441183509986,-0.45445637917103265,-1.2434919229982373,FEMALE,-1.6664921562913655,small
Adelie,Torgersen,-1.4061154213371396,1.1000751661149466,-0.602274296185611,-0.9836734770805936,FEMALE,-1.2781994036853068,small
Adelie,Torgersen,-0.9037258769529646,1.7738062138788946,-0.8240011717074784,-0.72385503116295,MALE,-0.5094839954228878,small
Adelie,Torgersen,-0.9810165760889914,0.3226931879257763,-1.489181798273081,-0.7563323369026554,FEMALE,-3.0400907512018454,small
Adelie,Torgersen,-0.9230485517369703,1.255551561752781,-0.45445637917103265,0.6077145041649735,MALE,-0.7351737514056147,large
Adelie,Torgersen,-0.5559177308408418,0.21904225750055395,-1.4152728397657919,-1.3084465344776481,FEMALE,-2.537947413363542,small
Adelie,Torgersen,-1.8118915918012821,2.0329335399419515,-0.23272950364916517,0.2504641410282135,MALE,-0.8912694666117905,medium
Adelie,Torgersen,-1.4254380961211466,0.3226931879257763,-1.1935459642439243,-0.6589004196835391,FEMALE,-4.417316973077895,small
Adelie,Torgersen,-1.019661925657004,0.9445987704771122,-0.45445637917103265,-0.9836734770805936,FEMALE,-1.079465649888553,small
Adelie,Torgersen,-0.2854002838647473,1.8256316790915048,-0.30663846215645435,0.3803733639870353,MALE,-0.1563296075179699,medium
Adelie,Torgersen,-1.8505369413692963,0.6336459792014433,-1.2674549227512135,-1.1460600057791208,FEMALE,-2.920458745278315,small
Adelie,Biscoe,-1.2128886734970719,0.7891223748392777,-1.5630907567803702,-0.7888096426423609,MALE,-1.5370096098771797,small
Adelie,Biscoe,-1.5606968196091946,1.0482497009023346,-0.8979101302147676,-0.5289911967247173,FEMALE,-1.4888597805138841,medium
Adelie,Biscoe,-1.116275299577038,0.4781695835636107,-1.1935459642439243,-0.3341273622864846,MALE,-2.334475754935885,medium
Adelie,Biscoe,-1.0003392508729985,0.011740396650107432,-1.5630907567803702,-0.5289911967247173,MALE,-85.20489389631013,medium
Adelie,Biscoe,-1.6766328683132354,0.8927733052645,-1.045728047229346,-0.5289911967247173,FEMALE,-1.8780051536336013,medium
Adelie,Biscoe,-0.6525311047608757,0.7372969096266675,-1.3413638812585027,-0.8537642541217718,MALE,-0.8850316558240924,small
Adelie,Biscoe,-0.6718537795448828,0.37451865313838656,-1.045728047229346,-1.3084465344776481,FEMALE,-1.793912730153468,small
Adelie,Biscoe,-0.6718537795448828,0.8927733052645,-1.5630907567803702,-0.3341273622864846,MALE,-0.7525468958167764,medium
Adelie,Dream,-0.8650805273849504,-0.24738692941294935,-1.7109086737949484,-1.2434919229982373,FEMALE,3.4968724072762924,small
Adelie,Dream,-1.3095020474171057,0.4781695835636107,-1.7109086737949484,-0.3990819737658955,MALE,-2.7385724488326915,medium
Adelie,Dream,-0.8650805273849504,0.3226931879257763,-0.9718190887220568,-1.1785373115188262,FEMALE,-2.680814345495048,small
Adelie,Dream,-0.594563080408856,0.8927733052645,-1.2674549227512135,-0.3990819737658955,MALE,-0.665973183677021,medium
Adelie,Dream,-1.4640834456891607,-0.0919105337751149,-0.45445637917103265,-1.1460600057791208,FEMALE,15.929441224565778,small
Adelie,Dream,-0.9230485517369703,2.0329335399419515,-0.38054742066374353,-0.07430891636884097,MALE,-0.45404757883198044,medium
Adelie,Dream,-1.0003392508729985,1.4628534226032257,-0.8240011717074784,-0.3341273622864846,MALE,-0.6838273988468656,medium
Adelie,Dream,-0.34336830821676706,0.6854714444140554,-1.5630907567803702,-0.8537642541217718,FEMALE,-0.5009228480849119,small
Adelie,Dream,-1.2322113482810788,1.1000751661149466,-1.489181798273081,-1.1785373115188262,FEMALE,-1.1201155941305245,small
Adelie,Dream,-0.8071125030329307,0.9964242356897243,-1.2674549227512135,0.575237198425268,MALE,-0.8100089039627262,large
Adelie,Dream,-1.4447607709051538,0.4263441183509986,-1.4152728397657919,-1.373401145957059,FEMALE,-3.3887198362045137,small
Adelie,Dream,-0.613885755192863,0.6336459792014433,-0.45445637917103265,-0.3990819737658955,MALE,-0.968815040800096,medium
Adelie,Dream,-1.5413741448251876,0.6854714444140554,-1.1196370057366352,-1.4383557574364698,FEMALE,-2.24863363366327,small
Adelie,Dream,0.023762512679361355,1.3073770269653913,-0.38054742066374353,0.2504641410282135,MALE,0.018175715336315446,medium
Adelie,Dream,-1.3481473969851199,-0.143735998987727,-1.1935459642439243,-1.5682649803952917,FEMALE,9.379330205930057,small
Adelie,Dream,-0.8457578526009435,0.8409478400518898,-0.8240011717074784,0.5102825869458572,MALE,-1.0057197513567036,large
Adelie,Dream,-0.5559177308408418,0.9445987704771122,-1.4152728397657919,-1.0161507828202991,MALE,-0.5885226068630711,small
Adelie,Dream,-1.5413741448251876,0.37451865313838656,-0.8240011717074784,-0.9836734770805936,FEMALE,-4.115613820323235,small
Adelie,Biscoe,-0.8457578526009435,0.2708677227131642,-1.1196370057366352,-0.9187188656011827,FEMALE,-3.1224017543668725,small
Adelie,Biscoe,-0.7491444786809096,0.8927733052645,-0.9718190887220568,0.12055491806939173,MALE,-0.8391206079565318,medium
Adelie,Biscoe,-1.7346008926652552,0.37451865313838656,-0.8240011717074784,-0.9836734770805936,FEMALE,-4.631547395916516,small
Adelie,Biscoe,-0.38201365778478114,1.203726096540169,-0.08491158663458684,-0.20421813932766278,MALE,-0.3173592886976453,medium
Adelie,Biscoe,-1.831214266585289,0.4781695835636107,-1.045728047229346,-1.6981742033541134,FEMALE,-3.8296335223540696,small
Adelie,Biscoe,-0.4979497064888221,0.7372969096266675,-0.7500922132001894,-0.6589004196835391,MALE,-0.6753720244683521,small
Adelie,Biscoe,-0.9616939013049843,0.16721679228794187,-1.1196370057366352,-0.8537642541217718,FEMALE,-5.7511801784176,small
Adelie,Biscoe,-0.6525311047608757,0.8409478400518898,-0.602274296185611,-0.5289911967247173,MALE,-0.77594717969739,medium
Adelie,Biscoe,-1.2322113482810788,0.9964242356897243,-0.5283653376783218,-0.5939458082041282,MALE,-1.2366332573476024,medium
Adelie,Biscoe,-1.5993421691772074,-0.143735998987727,-1.1935459642439243,-1.373401145957059,FEMALE,11.126942313969435,small
Adelie,Biscoe,-0.5172723812728292,2.0329335399419515,-0.45445637917103265,0.2504641410282135,MALE,-0.2544462822368504,medium
Adelie,Biscoe,-1.2322113482810788,-0.0919105337751149,-1.1935459642439243,-0.7888096426423609,FEMALE,13.406639018069813,small
Adelie,Biscoe,-0.5559177308408418,0.529995048776221,-0.6761832546929002,-0.20421813932766278,MALE,-1.0489111778015237,medium
Adelie,Biscoe,-0.45930435692080795,0.4263441183509986,-0.6761832546929002,-0.3341273622864846,MALE,-1.0773090026368652,medium
Adelie,Biscoe,-1.6379875187452215,-0.5065142554760061,-0.45445637917103265,-1.1135827000394154,FEMALE,3.233842880109845,small
Adelie,Biscoe,-0.5559177308408418,0.9964242356897243,-0.9718190887220568,-0.13926352784825188,MALE,-0.5579126951443889,medium
Adelie,Torgersen,-1.5606968196091946,-0.2992123946255596,-0.8240011717074784,-1.5033103689158809,FEMALE,5.216016607742075,small
Adelie,Torgersen,-0.42065900735279527,1.1519006313275568,-0.23272950364916517,0.3154187525076244,MALE,-0.3651868884453939,medium
Adelie,Torgersen,-0.8264351778169364,0.6336459792014433,-0.8240011717074784,-0.3990819737658955,MALE,-1.304253802507288,medium
Adelie,Torgersen,-0.8457578526009435,0.011740396650107432,-0.38054742066374353,-0.8537642541217718,FEMALE,-72.03826904717093,small
Adelie,Torgersen,0.3522479840074757,0.8927733052645,-0.30663846215645435,-0.07430891636884097,MALE,0.39455479003498645,medium
Adelie,Torgersen,-1.6379875187452215,0.16721679228794187,-0.8240011717074784,-0.6589004196835391,FEMALE,-9.795592274755878,small
Adelie,Torgersen,-0.22743225951272752,0.6854714444140554,-0.45445637917103265,0.05560030658998083,MALE,-0.33178954625475,medium
Adelie,Torgersen,-0.594563080408856,-0.19556146420033724,-0.7500922132001894,-0.6589004196835391,FEMALE,3.0402875271979615,small
Adelie,Torgersen,-1.3095020474171057,1.1519006313275568,-1.2674549227512135,-0.3990819737658955,MALE,-1.136818586433028,medium
Adelie,Torgersen,-1.5027287952571735,-0.5583397206886164,-1.045728047229346,-0.8537642541217718,FEMALE,2.6914237686758433,small
Adelie,Torgersen,-0.3626909830007741,0.9964242356897243,-0.45445637917103265,-0.2691727508070737,MALE,-0.3639925345148993,medium
Adelie,Torgersen,-1.8118915918012821,0.011740396650107432,-0.8979101302147676,-1.3084465344776481,FEMALE,-154.32967435429043,small
Adelie,Torgersen,-0.20810958472872046,0.21904225750055395,-0.38054742066374353,0.6401918099046789,MALE,-0.9500887504695031,large
Adelie,Torgersen,-1.4061154213371396,0.8409478400518898,-1.045728047229346,-0.5289911967247173,FEMALE,-1.6720602091687122,medium
Adelie,Torgersen,-1.7152782178812482,1.1519006313275568,-0.602274296185611,-0.009354304889430074,MALE,-1.489085231166514,medium
Adelie,Dream,-1.2901793726331001,0.3226931879257763,-0.7500922132001894,-1.1135827000394154,FEMALE,-3.9981611664199694,small
Adelie,Dream,-0.5172723812728292,1.6183298182410601,-0.5283653376783218,-0.8537642541217718,MALE,-0.31963347362347017,small
Adelie,Dream,-1.4834061204731679,1.203726096540169,-0.8240011717074784,-0.5289911967247173,MALE,-1.2323452359609666,medium
Adelie,Dream,-1.3674700717691268,0.7372969096266675,-0.8979101302147676,-0.9187188656011827,FEMALE,-1.854707450844395,small
Adelie,Dream,-1.0969526247930323,1.0482497009023346,-0.8979101302147676,-0.3341273622864846,MALE,-1.0464611855827617,medium
Adelie,Dream,-0.9810165760889914,0.8409478400518898,-0.8240011717074784,-0.7888096426423609,FEMALE,-1.1665605515182236,small
Adelie,Dream,-1.5993421691772074,0.4263441183509986,0.06290633037999149,-0.8537642541217718,FEMALE,-3.7512940846072804,small
